document_slug,lab,release_date,year,register,evidence_phrase,confidence
xai_grok4_card,xai,2025-08-20,2025,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
xai_grok4_fast_card,xai,2025-09-19,2025,threshold,threshold=1 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_sonnet45_card,anthropic,2025-09-29,2025,hedging,hedging=4 hits,real (phrase-list classifier on raw card text)
anthropic_haiku45_card,anthropic,2025-10-15,2025,hedging,hedging=2 hits,real (phrase-list classifier on raw card text)
openai_gpt51_system_card,openai,2025-11-12,2025,threshold,threshold=3 > reassurance=0,real (phrase-list classifier on raw card text)
xai_grok41_card,xai,2025-11-17,2025,reassurance,"reassurance=1 >= threshold=0, hedging=0",real (phrase-list classifier on raw card text)
google_gemini_3_pro_card,google,2025-11-18,2025,threshold,threshold=4 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_opus45_card,anthropic,2025-11-24,2025,hedging,hedging=9 hits,real (phrase-list classifier on raw card text)
openai_gpt52_system_card,openai,2025-12-15,2025,hedging,hedging=2 hits,real (phrase-list classifier on raw card text)
google_gemini_3_card,google,2025-12-15,2025,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
openai_gpt53_codex_card,openai,2026-01-20,2026,hedging,hedging=9 hits,real (phrase-list classifier on raw card text)
anthropic_sonnet46_card,anthropic,2026-02-15,2026,threshold,threshold=35 > reassurance=4,real (phrase-list classifier on raw card text)
google_gemini_31_pro_card,google,2026-02-20,2026,threshold,threshold=3 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_opus46_card,anthropic,2026-03-20,2026,hedging,hedging=13 hits,real (phrase-list classifier on raw card text)
anthropic_mythos_card,anthropic,2026-04-08,2026,hedging,hedging=5 hits,real (phrase-list classifier on raw card text)
openai_gpt55_system_card,openai,2026-04-23,2026,hedging,hedging=3 hits,real (phrase-list classifier on raw card text)
